"Student_ID","High_School_GPA","SAT_Score","University_Ranking","University_GPA","Field_of_Study"
"S00001",3.58,1052,291,3.96,"Arts"
"S00002",2.52,1211,112,3.63,"Law"
"S00003",3.42,1193,715,2.63,"Medicine"
"S00004",2.43,1497,170,2.81,"Computer Science"
"S00005",2.08,1012,599,2.48,"Engineering"
"S00006",2.4,1600,631,3.78,"Law"
"S00007",2.36,1011,610,3.83,"Computer Science"
"S00008",2.68,1074,240,2.84,"Computer Science"
"S00009",2.84,1201,337,3.31,"Business"
"S00010",3.02,1415,138,2.33,"Computer Science"
"S00011",2.95,1120,594,2.87,"Mathematics"
"S00012",2.54,1070,236,3.26,"Law"
"S00013",2.06,1217,648,2.77,"Engineering"
"S00014",3.21,1112,794,2.72,"Arts"
"S00015",2.79,1152,3,2,"Business"
"S00016",2.6,1023,571,3.61,"Computer Science"
"S00017",3.73,1539,116,3.78,"Law"
"S00018",3.49,1112,472,3.94,"Mathematics"
"S00019",3.72,1523,131,3.44,"Mathematics"
"S00020",2.99,984,934,3.1,"Mathematics"
"S00021",2.26,1415,898,2.54,"Medicine"
"S00022",3.39,964,483,4,"Business"
"S00023",2.41,1217,401,3.18,"Engineering"
"S00024",2.88,1245,201,3.36,"Medicine"
"S00025",2.13,1531,292,3.36,"Engineering"
"S00026",3.65,1142,342,3.69,"Medicine"
"S00027",2.25,1036,991,2.02,"Arts"
"S00028",3.81,1146,610,2.44,"Engineering"
"S00029",3.73,1340,216,3.33,"Medicine"
"S00030",2.93,944,636,3.79,"Mathematics"
"S00031",3.49,1557,585,3.37,"Engineering"
"S00032",3.24,1587,366,2.83,"Business"
"S00033",3.61,1453,890,2.72,"Engineering"
"S00034",2.86,988,642,3.48,"Law"
"S00035",3.57,1127,469,3.48,"Engineering"
"S00036",2.92,1190,418,3.21,"Medicine"
"S00037",3.88,1321,27,2.58,"Engineering"
"S00038",2.97,966,677,3.85,"Arts"
"S00039",2.93,1150,455,3.1,"Computer Science"
"S00040",3.57,940,918,3.58,"Business"
"S00041",3.64,998,580,2.43,"Law"
"S00042",3.11,1205,14,2.69,"Mathematics"
"S00043",2.36,1355,98,3.75,"Medicine"
"S00044",2.94,1490,279,2.1,"Mathematics"
"S00045",3.94,1200,940,3.02,"Mathematics"
"S00046",3.51,1098,490,2.96,"Engineering"
"S00047",3.62,1558,985,3.5,"Engineering"
"S00048",2.07,1387,961,2.56,"Engineering"
"S00049",2.94,1005,883,2.44,"Business"
"S00050",3.29,1300,759,3.85,"Law"
"S00051",3.66,1376,624,3.14,"Computer Science"
"S00052",2.1,1021,207,2.21,"Arts"
"S00053",3.7,976,864,2.39,"Law"
"S00054",3.1,1211,846,4,"Arts"
"S00055",2.39,1011,233,2.39,"Mathematics"
"S00056",2.63,1581,573,3.22,"Law"
"S00057",2.56,1417,597,2.84,"Medicine"
"S00058",3.06,1096,695,3.77,"Computer Science"
"S00059",2.1,997,239,3.51,"Computer Science"
"S00060",2.32,1358,250,3.19,"Business"
"S00061",3.63,1129,583,2.02,"Law"
"S00062",2.27,1067,740,3.76,"Engineering"
"S00063",2.47,907,597,2.89,"Computer Science"
"S00064",2.91,1071,306,3.86,"Law"
"S00065",3.03,1259,1000,2.99,"Engineering"
"S00066",3.53,1094,908,3.39,"Business"
"S00067",2.89,1168,463,2.14,"Mathematics"
"S00068",3.58,918,783,3.49,"Mathematics"
