"Student_ID","Job_Offers","Starting_Salary","Career_Satisfaction","Years_to_Promotion","Current_Job_Level","Work_Life_Balance","Entrepreneurship"
"S00001",5,27200,4,5,"Entry",7,"No"
"S00002",4,25000,1,1,"Mid",7,"No"
"S00003",0,42400,9,3,"Entry",7,"No"
"S00004",1,57400,7,5,"Mid",5,"No"
"S00005",4,47600,9,5,"Entry",2,"No"
"S00006",1,68400,9,2,"Entry",8,"Yes"
"S00007",2,55500,7,4,"Mid",3,"No"
"S00008",2,38000,2,3,"Entry",3,"No"
"S00009",2,68900,2,2,"Entry",2,"No"
"S00010",0,58900,4,2,"Senior",2,"No"
"S00011",5,26300,9,1,"Entry",2,"No"
"S00012",5,35100,7,4,"Mid",6,"Yes"
"S00013",2,42600,9,4,"Senior",8,"No"
"S00014",2,76500,4,3,"Entry",3,"No"
"S00015",1,61100,9,3,"Entry",6,"Yes"
"S00016",3,34500,7,4,"Senior",3,"No"
"S00017",3,97500,8,5,"Mid",9,"No"
"S00018",5,61800,1,5,"Senior",1,"No"
"S00019",5,32200,9,2,"Entry",7,"No"
"S00020",2,45500,8,4,"Senior",8,"No"
"S00021",5,42200,1,2,"Entry",9,"No"
"S00022",3,37400,8,5,"Senior",5,"No"
"S00023",2,69500,5,3,"Senior",6,"No"
"S00024",2,48100,3,4,"Mid",5,"No"
"S00025",0,63900,8,1,"Mid",10,"No"
"S00026",4,48100,3,2,"Entry",5,"No"
"S00027",3,44600,8,4,"Entry",7,"No"
"S00028",2,41000,5,1,"Entry",4,"No"
"S00029",3,50300,8,2,"Mid",6,"No"
"S00030",0,38300,3,5,"Executive",4,"No"
"S00031",0,49500,10,2,"Senior",2,"No"
"S00032",2,41500,6,3,"Entry",2,"No"
"S00033",3,29800,6,2,"Mid",4,"No"
"S00034",3,44600,4,2,"Entry",5,"No"
"S00035",3,25000,5,4,"Entry",1,"Yes"
"S00036",0,70300,7,4,"Entry",3,"No"
"S00037",1,57500,1,5,"Executive",5,"No"
"S00038",1,43000,8,3,"Entry",8,"No"
"S00039",3,25000,3,3,"Entry",4,"Yes"
"S00040",3,50200,7,5,"Entry",6,"Yes"
"S00041",4,53400,9,1,"Mid",4,"No"
"S00042",2,56300,2,2,"Entry",5,"No"
"S00043",0,38400,10,4,"Senior",7,"No"
"S00044",4,53200,10,5,"Entry",8,"Yes"
"S00045",3,78700,7,5,"Entry",10,"Yes"
"S00046",5,42200,1,4,"Mid",10,"No"
"S00047",1,65500,5,4,"Entry",8,"No"
"S00048",1,49800,7,1,"Mid",7,"Yes"
"S00049",4,47900,5,3,"Mid",4,"Yes"
"S00050",1,52000,5,4,"Mid",4,"No"
"S00051",1,42000,6,5,"Senior",2,"No"
"S00052",5,52100,10,2,"Senior",9,"No"
"S00053",2,64500,10,1,"Mid",6,"Yes"
"S00054",3,63500,6,2,"Executive",3,"No"
"S00055",4,67200,10,2,"Entry",3,"No"
"S00056",5,40600,2,3,"Senior",1,"Yes"
"S00057",0,50900,10,2,"Entry",2,"No"
"S00058",0,82700,10,5,"Entry",5,"No"
"S00059",5,35400,9,5,"Senior",9,"No"
"S00060",3,48300,3,4,"Entry",3,"No"
"S00061",0,31800,1,3,"Entry",7,"No"
"S00062",5,51600,1,4,"Entry",6,"No"
"S00063",1,65600,9,2,"Entry",3,"No"
"S00064",2,75700,6,5,"Entry",4,"Yes"
"S00065",4,35000,7,4,"Entry",5,"No"
"S00066",4,37600,2,5,"Mid",2,"No"
"S00067",1,73700,1,4,"Mid",8,"Yes"
"S00068",3,25000,2,1,"Mid",7,"No"
"S00069",2,40400,3,3,"Entry",9,"No"
"S00070",0,64600,3,4,"Senior",8,"No"
"S00071",4,25000,8,2,"Entry",7,"No"
"S00072",4,34300,4,5,"Entry",9,"No"
"S00073",3,68900,1,5,"Senior",10,"No"
"S00074",2,25000,2,3,"Mid",5,"No"
"S00075",5,25000,9,3,"Executive",3,"No"
"S00076",0,62600,2,1,"Entry",6,"No"
"S00077",4,74400,9,4,"Mid",9,"No"
"S00078",4,71500,5,1,"Entry",6,"No"
"S00079",0,25000,4,4,"Senior",3,"Yes"
"S00080",2,71900,4,4,"Entry",2,"No"
"S00081",2,51200,3,3,"Entry",5,"No"
"S00082",2,37900,2,3,"Entry",8,"No"
"S00083",4,36000,8,4,"Mid",8,"No"
"S00084",5,60500,6,3,"Entry",1,"No"
"S00085",1,56600,9,4,"Executive",3,"No"
"S00086",4,71100,2,3,"Senior",5,"No"
"S00087",3,40600,1,2,"Senior",1,"No"
"S00088",3,42700,8,4,"Senior",6,"No"
"S00089",5,62100,8,5,"Senior",4,"No"
"S00090",4,38100,5,2,"Senior",9,"Yes"
"S00091",4,62300,2,1,"Senior",2,"No"
"S00092",0,33300,10,3,"Senior",10,"No"
"S00093",2,80600,5,1,"Entry",5,"No"
"S00094",5,79900,8,5,"Entry",5,"No"
"S00095",0,39000,4,3,"Mid",6,"Yes"
"S00096",5,50900,2,1,"Entry",5,"No"
"S00097",3,51800,3,2,"Entry",10,"No"
"S00098",3,48000,3,1,"Mid",10,"No"
"S00099",1,35000,9,3,"Mid",9,"Yes"
"S00100",2,51600,3,2,"Mid",1,"No"
"S00101",2,27800,1,5,"Executive",8,"No"
"S00102",5,73000,7,1,"Mid",6,"No"
"S00103",3,74000,1,4,"Entry",9,"No"
"S00104",0,70200,6,3,"Entry",10,"No"
"S00105",4,71300,10,4,"Entry",7,"No"
"S00106",2,61100,4,4,"Entry",3,"No"
"S00107",4,36400,7,1,"Entry",8,"No"
"S00108",3,30300,7,4,"Entry",10,"No"
"S00109",1,33900,7,2,"Senior",3,"Yes"
"S00110",3,56800,6,5,"Mid",3,"No"
"S00111",4,29900,7,5,"Mid",4,"No"
